vehicle_type,payment_method,ride_distance,booking_hour,cancelled
Prime Sedan,Cash,41,3,0
Prime Sedan,UPI,37,8,0
eBike,UPI,10,21,0
Mini,Cash,8,11,0
Mini,UPI,23,10,0
eBike,Cash,47,18,0
Bike,Cash,32,6,0
eBike,UPI,14,4,0
eBike,UPI,21,1,0
Bike,Cash,8,0,0
Auto,Cash,12,6,0
eBike,UPI,15,17,0
Mini,Cash,37,14,0
eBike,UPI,47,4,0
Auto,UPI,16,0,0
Bike,Cash,28,15,0
Prime Sedan,Cash,20,12,0
Mini,UPI,11,19,0
Prime SUV,Cash,24,21,0
Prime SUV,UPI,7,13,0
eBike,UPI,11,11,0
Mini,Cash,32,6,0
Prime Sedan,UPI,37,13,0
Auto,Cash,16,19,0
Prime SUV,Cash,46,16,0
Bike,UPI,24,13,0
eBike,Cash,35,13,0
Bike,Cash,48,5,0
eBike,UPI,22,7,0
eBike,Cash,38,16,0
Mini,UPI,26,14,0
Prime Plus,Cash,18,17,0
Prime SUV,Cash,36,0,0
Auto,Cash,15,22,0
Prime SUV,UPI,8,3,0
Auto,Cash,13,21,0
Mini,UPI,43,5,0
Auto,Cash,5,7,0
Prime SUV,UPI,10,9,0
Auto,UPI,4,18,0
Mini,UPI,26,9,0
Prime Plus,UPI,2,21,0
eBike,Cash,9,19,0
Bike,Cash,27,10,0
Auto,Cash,5,1,0
Auto,Cash,18,14,0
Prime Sedan,Cash,37,13,0
Bike,Cash,29,12,0
Bike,Cash,4,5,0
Bike,Cash,28,17,0
eBike,Cash,26,23,0
Bike,Credit Card,7,9,0
Prime Plus,UPI,5,9,0
Prime Sedan,Credit Card,43,16,0
Prime SUV,Cash,8,7,0
Prime Sedan,UPI,31,8,0
Prime Plus,UPI,24,22,0
Prime SUV,UPI,26,8,0
Prime SUV,Cash,34,9,0
Bike,Cash,1,9,0
Prime SUV,Cash,49,15,0
Bike,UPI,23,5,0
Bike,UPI,39,19,0
Bike,UPI,27,11,0
eBike,Cash,11,17,0
Mini,UPI,41,18,0
Mini,UPI,40,19,0
Bike,UPI,32,3,0
Prime Sedan,UPI,19,8,0
Bike,Cash,36,19,0
Bike,Cash,2,6,0
eBike,Credit Card,32,12,0
eBike,UPI,19,2,0
Mini,Cash,18,2,0
Mini,Cash,5,14,0
Prime Plus,UPI,2,5,0
Prime Plus,Cash,38,11,0
Prime Sedan,UPI,33,13,0
Bike,UPI,16,2,0
Mini,Cash,34,15,0
Mini,UPI,3,0,0
Bike,Cash,27,23,0
Prime SUV,Cash,20,10,0
Prime SUV,Cash,32,2,0
Prime SUV,UPI,34,9,0
Mini,Cash,5,18,0
Prime Plus,Cash,28,15,0
Auto,Cash,12,23,0
Prime Plus,Cash,49,4,0
Bike,UPI,32,23,0
eBike,Cash,32,0,0
Prime Sedan,Cash,23,20,0
Prime Plus,Cash,36,8,0
Bike,Cash,32,13,0
eBike,Cash,20,17,0
Bike,UPI,39,16,0
Prime Sedan,Cash,36,19,0
Prime SUV,UPI,31,0,0
eBike,Cash,4,1,0
eBike,Cash,17,23,0
Prime Sedan,Cash,29,20,0
eBike,Cash,46,18,0
Prime SUV,Cash,37,20,0
Auto,UPI,11,7,0
eBike,UPI,28,10,0
Prime Sedan,Cash,32,7,0
Auto,Cash,19,14,0
Auto,UPI,15,0,0
eBike,UPI,45,17,0
Prime SUV,UPI,26,10,0
Auto,Cash,7,22,0
Prime SUV,Cash,18,6,0
Bike,Cash,19,9,0
Mini,Cash,38,0,0
Prime Sedan,UPI,7,13,0
Prime SUV,Cash,8,8,0
Prime Plus,UPI,2,7,0
Prime SUV,UPI,30,4,0
Bike,Cash,41,6,0
eBike,Cash,42,19,0
Prime SUV,UPI,48,19,0
Bike,Cash,36,9,0
Bike,Cash,45,14,0
Prime Plus,UPI,15,21,0
eBike,Cash,27,13,0
eBike,UPI,34,14,0
Bike,UPI,29,12,0
Bike,Debit Card,38,22,0
Prime Plus,Cash,38,19,0
Bike,Cash,44,17,0
Auto,UPI,4,13,0
Bike,Cash,31,6,0
Auto,Cash,10,18,0
Prime Sedan,Cash,44,19,0
Prime Sedan,Cash,41,3,0
eBike,UPI,42,5,0
Prime Sedan,Cash,24,18,0
eBike,UPI,20,22,0
Bike,Cash,5,8,0
Prime SUV,UPI,30,4,0
Prime Sedan,Cash,13,15,0
Prime SUV,Cash,23,1,0
Prime Sedan,Cash,26,6,0
Bike,Cash,25,16,0
Mini,UPI,32,22,0
Mini,UPI,16,16,0
Prime Sedan,Cash,12,18,0
Prime Sedan,UPI,39,16,0
Prime Plus,UPI,2,21,0
Mini,UPI,34,11,0
Auto,Cash,8,19,0
Auto,Cash,17,13,0
Bike,Cash,20,0,0
Mini,UPI,13,22,0
Bike,UPI,21,13,0
Auto,Credit Card,16,4,0
Prime Sedan,Cash,1,11,0
Auto,Cash,7,0,0
Bike,UPI,45,22,0
Prime SUV,UPI,4,7,0
Auto,Cash,18,16,0
Auto,Cash,12,14,0
Prime Plus,UPI,39,12,0
Prime Sedan,Cash,32,1,0
Prime Sedan,Cash,9,11,0
Prime Sedan,Cash,38,21,0
Mini,Cash,36,13,0
Prime SUV,Cash,10,19,0
Prime SUV,Cash,31,15,0
Prime SUV,UPI,17,17,0
Bike,Cash,12,0,0
Bike,Credit Card,13,2,0
Mini,UPI,31,12,0
Auto,Cash,14,14,0
Prime SUV,UPI,42,20,0
Prime SUV,Cash,13,10,0
Auto,UPI,4,10,0
Auto,Cash,12,5,0
Prime Plus,Cash,20,17,0
eBike,Cash,31,22,0
eBike,Cash,11,16,0
Bike,UPI,25,21,0
Mini,Cash,42,11,0
Prime Plus,Cash,31,10,0
eBike,UPI,37,22,0
Prime SUV,Cash,1,2,0
Prime SUV,Cash,25,0,0
Prime Plus,UPI,15,6,0
Prime SUV,Cash,42,17,0
Prime Plus,Cash,18,4,0
Prime Sedan,UPI,36,18,0
Mini,UPI,20,0,0
eBike,UPI,36,0,0
Prime Plus,Cash,15,3,0
Mini,UPI,24,10,0
Mini,Cash,10,13,0
Mini,Cash,29,19,0
Mini,UPI,29,14,0
Mini,Cash,33,3,0
Prime SUV,Cash,19,9,0
Prime Plus,Cash,27,6,0
Prime Plus,Debit Card,6,6,0
Bike,Cash,26,22,0
Bike,UPI,10,15,0
Auto,Cash,15,20,0
Prime SUV,Cash,11,8,0
Mini,Cash,9,3,0
Prime SUV,UPI,34,13,0
Prime SUV,UPI,32,9,0
Bike,Debit Card,11,3,0
eBike,UPI,45,17,0
Bike,UPI,12,20,0
Prime Sedan,Cash,5,8,0
Prime Sedan,UPI,5,6,0
Bike,UPI,14,7,0
Prime Plus,UPI,13,21,0
Prime Plus,Cash,14,18,0
eBike,Cash,31,15,0
eBike,Cash,48,23,0
Prime Plus,UPI,16,1,0
Prime Sedan,UPI,15,19,0
Prime Sedan,UPI,25,2,0
eBike,Cash,36,4,0
Prime Plus,Cash,40,8,0
Auto,UPI,19,4,0
Prime Sedan,UPI,34,4,0
Prime Sedan,Credit Card,21,13,0
eBike,Cash,27,13,0
eBike,UPI,7,7,0
Prime Plus,Cash,26,14,0
Prime SUV,UPI,29,12,0
Prime Sedan,UPI,16,1,0
Mini,UPI,29,17,0
Prime SUV,UPI,8,13,0
Prime Sedan,Cash,43,17,0
Prime SUV,UPI,41,11,0
Prime SUV,Cash,31,5,0
Prime Sedan,UPI,40,6,0
eBike,UPI,37,15,0
eBike,Cash,44,0,0
Prime Plus,Cash,17,7,0
Mini,Cash,44,4,0
Prime Plus,Cash,2,0,0
Bike,UPI,47,10,0
eBike,UPI,10,9,0
eBike,UPI,29,7,0
Prime Sedan,Cash,3,3,0
Bike,Cash,19,23,0
Mini,Cash,44,4,0
eBike,Cash,22,16,0
Prime Sedan,UPI,20,15,0
Prime Plus,Cash,23,8,0
Prime Plus,Cash,19,7,0
Auto,Cash,4,14,0
Prime Sedan,UPI,1,10,0
Auto,Cash,1,4,0
eBike,UPI,5,18,0
Mini,Credit Card,42,12,0
Prime Plus,Cash,48,1,0
Prime Sedan,UPI,18,12,0
Prime Sedan,UPI,24,10,0
Prime SUV,Credit Card,25,19,0
Bike,Cash,43,17,0
Prime Plus,UPI,31,13,0
eBike,Cash,19,16,0
Prime Sedan,UPI,14,12,0
Bike,Cash,16,19,0
Prime Plus,Cash,23,23,0
Mini,Cash,36,5,0
Prime Plus,Cash,48,11,0
Prime Plus,UPI,16,4,0
Bike,Cash,2,12,0
eBike,Cash,41,10,0
Mini,UPI,24,10,0
Prime Sedan,Cash,32,18,0
Bike,Cash,18,0,0
Prime SUV,Cash,24,20,0
Auto,Credit Card,13,12,0
Mini,UPI,36,18,0
Prime Sedan,Cash,11,5,0
eBike,UPI,29,22,0
Bike,Cash,8,1,0
Prime Sedan,Cash,3,5,0
Prime SUV,Cash,10,20,0
Mini,UPI,17,1,0
Auto,Cash,5,17,0
Mini,Cash,22,13,0
eBike,Cash,40,18,0
Mini,Credit Card,34,6,0
Auto,UPI,14,9,0
Prime SUV,Cash,24,19,0
Prime SUV,UPI,27,2,0
eBike,Cash,9,7,0
Prime Sedan,UPI,42,9,0
Auto,Cash,4,15,0
Mini,UPI,27,11,0
Mini,UPI,18,20,0
Auto,Cash,7,11,0
Prime Sedan,UPI,20,21,0
Prime Sedan,Cash,42,20,0
Prime Plus,Cash,25,10,0
Mini,Cash,40,14,0
eBike,Cash,29,10,0
Prime Sedan,Cash,25,20,0
Prime SUV,Cash,39,16,0
Prime Sedan,Cash,33,13,0
Prime Sedan,UPI,14,10,0
Bike,Cash,39,4,0
Prime SUV,UPI,29,8,0
Auto,Cash,11,21,0
Mini,Cash,47,15,0
Prime Sedan,UPI,9,8,0
Prime SUV,Cash,31,20,0
Bike,Cash,36,3,0
Prime Sedan,Credit Card,14,2,0
Bike,Cash,21,6,0
Prime Sedan,UPI,43,4,0
Mini,Cash,27,12,0
Prime Sedan,UPI,12,4,0
Auto,UPI,12,9,0
Prime Sedan,Cash,33,11,0
Prime Plus,Cash,24,6,0
Bike,Cash,31,5,0
eBike,UPI,28,9,0
Mini,UPI,31,7,0
Prime Plus,Cash,2,9,0
eBike,Cash,30,0,0
Prime Plus,Cash,16,14,0
Prime Sedan,Cash,40,19,0
Mini,Debit Card,3,5,0
eBike,Cash,35,3,0
Bike,Cash,19,2,0
Mini,UPI,3,4,0
Auto,UPI,11,6,0
Mini,Cash,1,16,0
Mini,UPI,15,18,0
Bike,Cash,5,3,0
Bike,Cash,9,16,0
eBike,Cash,36,8,0
Bike,UPI,26,0,0
Prime SUV,Cash,17,1,0
Prime Plus,Cash,34,0,0
Mini,UPI,37,9,0
Prime Plus,Cash,15,6,0
Prime SUV,UPI,43,23,0
Prime Plus,Cash,12,14,0
Mini,Cash,37,9,0
eBike,UPI,33,21,0
eBike,Cash,31,8,0
Prime Plus,Cash,44,10,0
Prime Plus,Cash,5,13,0
Prime Sedan,UPI,3,6,0
Bike,Cash,28,5,0
Mini,Cash,7,10,0
Auto,UPI,14,19,0
Mini,UPI,28,18,0
Mini,UPI,21,15,0
Mini,Cash,28,18,0
Auto,UPI,4,14,0
Prime Sedan,Cash,38,21,0
Prime Plus,Cash,48,11,0
eBike,Cash,43,21,0
Prime Sedan,UPI,1,19,0
Prime Sedan,Cash,17,6,0
Bike,Cash,30,4,0
Prime SUV,Cash,39,21,0
eBike,Cash,39,12,0
Prime Plus,Cash,13,13,0
eBike,Cash,47,15,0
Prime SUV,Cash,1,6,0
Bike,UPI,21,0,0
Prime Plus,UPI,31,8,0
Bike,Cash,23,9,0
Prime SUV,UPI,18,11,0
eBike,UPI,48,4,0
Mini,UPI,12,11,0
Auto,UPI,1,6,0
eBike,UPI,22,14,0
eBike,Cash,19,18,0
Bike,UPI,22,17,0
Prime Sedan,UPI,44,1,0
Prime Plus,Cash,15,13,0
Auto,UPI,15,5,0
Prime Sedan,UPI,3,23,0
Bike,UPI,20,9,0
Prime Sedan,Credit Card,21,4,0
Mini,UPI,4,15,0
Mini,Cash,36,17,0
Bike,UPI,6,2,0
Mini,UPI,8,2,0
Prime SUV,Cash,22,17,0
eBike,Cash,17,11,0
Mini,UPI,20,11,0
Prime SUV,Cash,18,3,0
eBike,Cash,8,10,0
Prime SUV,UPI,8,8,0
Prime Plus,UPI,39,11,0
Prime Sedan,Cash,11,17,0
Mini,Cash,5,5,0
Prime Plus,Cash,42,16,0
Mini,UPI,19,14,0
eBike,UPI,8,7,0
Auto,UPI,4,7,0
Auto,Debit Card,18,10,0
Prime SUV,UPI,29,18,0
Mini,UPI,48,0,0
Prime Plus,Cash,33,0,0
eBike,Cash,18,8,0
Prime Plus,UPI,41,5,0
Prime SUV,Cash,42,0,0
eBike,UPI,49,23,0
Bike,Cash,37,0,0
Mini,UPI,21,13,0
Prime Sedan,Cash,35,12,0
Bike,UPI,27,5,0
Prime SUV,UPI,4,17,0
Prime Sedan,UPI,25,0,0
Mini,UPI,26,13,0
Prime Plus,Cash,6,18,0
Bike,Cash,30,14,0
Bike,Cash,23,22,0
Mini,Cash,39,21,0
Bike,UPI,3,9,0
Bike,UPI,19,14,0
Prime Sedan,Cash,3,21,0
Prime Sedan,Cash,48,8,0
Mini,Credit Card,34,17,0
Prime Plus,Cash,35,22,0
Prime Sedan,UPI,27,0,0
Auto,Cash,16,10,0
Bike,Cash,6,6,0
eBike,UPI,20,13,0
Prime Plus,Credit Card,38,10,0
eBike,Cash,26,22,0
eBike,UPI,27,3,0
Mini,Cash,15,22,0
Prime Plus,Cash,12,11,0
Auto,Cash,3,13,0
Prime SUV,Cash,21,4,0
Prime Sedan,Cash,13,13,0
Prime Sedan,UPI,19,16,0
Prime Sedan,Cash,8,1,0
Prime Sedan,Cash,45,3,0
eBike,UPI,4,18,0
eBike,UPI,17,15,0
Prime SUV,UPI,26,8,0
Prime SUV,Cash,5,8,0
Auto,UPI,12,8,0
Auto,UPI,15,18,0
Prime SUV,Cash,31,0,0
Prime Sedan,Cash,24,15,0
Prime Sedan,Cash,17,18,0
Auto,Cash,12,9,0
Auto,UPI,5,22,0
Prime Sedan,UPI,44,20,0
Prime Sedan,UPI,27,6,0
Prime SUV,Credit Card,49,5,0
eBike,Cash,31,2,0
Bike,UPI,18,21,0
Prime SUV,UPI,32,0,0
Mini,Cash,27,14,0
Mini,Cash,48,5,0
Prime Sedan,Cash,30,16,0
Auto,UPI,1,9,0
Mini,Cash,31,21,0
Prime Sedan,UPI,8,21,0
eBike,Cash,1,2,0
Prime Sedan,Cash,37,0,0
Auto,UPI,15,15,0
Auto,UPI,3,8,0
Prime Sedan,Cash,47,16,0
Mini,Cash,49,3,0
Prime SUV,Cash,32,19,0
Auto,UPI,19,15,0
Mini,UPI,47,2,0
Bike,UPI,4,21,0
Bike,UPI,20,23,0
Prime SUV,Cash,37,13,0
Mini,Cash,20,3,0
eBike,UPI,21,3,0
Prime SUV,Cash,14,19,0
eBike,Cash,23,17,0
eBike,Cash,16,11,0
Mini,UPI,39,17,0
Bike,Cash,2,1,0
Mini,UPI,31,16,0
eBike,UPI,41,4,0
Auto,Cash,8,15,0
Prime Plus,Cash,24,0,0
Auto,Cash,9,2,0
Prime SUV,Cash,29,1,0
eBike,UPI,31,21,0
eBike,Cash,36,8,0
eBike,Cash,33,22,0
Auto,UPI,3,19,0
Prime SUV,Cash,33,19,0
Bike,Cash,1,0,0
Bike,Cash,15,8,0
Prime Sedan,Cash,38,8,0
Prime Sedan,Cash,39,1,0
Prime Plus,Cash,27,15,0
Auto,Cash,6,13,0
Mini,Cash,29,21,0
Auto,UPI,14,14,0
Prime Sedan,UPI,24,12,0
Bike,UPI,7,0,0
Mini,Cash,44,5,0
eBike,UPI,17,9,0
Mini,Cash,46,5,0
Bike,UPI,16,13,0
eBike,Cash,12,2,0
Prime Sedan,UPI,17,1,0
Prime SUV,Cash,34,9,0
eBike,UPI,36,7,0
Prime Plus,Cash,36,4,0
Auto,Cash,8,0,0
Prime Plus,Cash,25,1,0
Mini,UPI,37,22,0
eBike,UPI,4,10,0
Prime Sedan,Cash,41,2,0
Prime Plus,Cash,36,2,0
Prime Sedan,Cash,37,19,0
Auto,UPI,17,14,0
Prime Plus,Cash,22,9,0
Prime SUV,Cash,46,22,0
Prime Sedan,UPI,36,9,0
Prime Plus,UPI,11,0,0
Auto,UPI,16,18,0
Prime SUV,Cash,32,21,0
Auto,UPI,13,10,0
Bike,Cash,43,15,0
Bike,UPI,40,18,0
Mini,Cash,35,18,0
Mini,UPI,37,11,0
Bike,Cash,10,7,0
Bike,UPI,47,7,0
Bike,Cash,40,9,0
Prime SUV,UPI,44,16,0
Prime Plus,Cash,43,19,0
Mini,Cash,39,4,0
Prime Plus,Cash,17,18,0
Prime SUV,Cash,47,1,0
Bike,UPI,8,2,0
Prime SUV,UPI,27,17,0
eBike,Cash,14,7,0
Auto,UPI,18,22,0
Prime Sedan,Cash,1,12,0
Mini,Credit Card,15,1,0
Prime SUV,Cash,33,6,0
Mini,Cash,19,13,0
Bike,Cash,5,11,0
Prime Sedan,UPI,27,0,0
Prime Sedan,UPI,35,6,0
Prime Plus,UPI,30,2,0
Auto,Debit Card,2,18,0
Prime Sedan,UPI,39,4,0
Prime Plus,Cash,49,4,0
Bike,UPI,7,23,0
Prime SUV,UPI,34,18,0
Prime Plus,Cash,48,15,0
Bike,UPI,43,18,0
Prime Plus,UPI,46,16,0
Prime Plus,Cash,27,20,0
eBike,UPI,5,4,0
Mini,Cash,25,11,0
Auto,Cash,7,3,0
Mini,Cash,33,12,0
Prime Sedan,Cash,33,16,0
Prime Sedan,UPI,43,8,0
Prime Plus,Cash,13,10,0
Mini,UPI,23,20,0
Prime Sedan,Credit Card,34,5,0
eBike,Cash,4,10,0
eBike,UPI,37,12,0
Auto,UPI,11,14,0
Bike,Cash,48,13,0
Mini,Cash,42,22,0
Prime Sedan,Cash,19,22,0
Mini,Cash,39,21,0
Auto,UPI,13,6,0
Prime Plus,UPI,6,11,0
Prime Plus,Cash,20,0,0
Bike,Cash,34,0,0
Bike,UPI,6,7,0
Auto,UPI,8,10,0
Prime SUV,UPI,48,22,0
eBike,Cash,36,2,0
Prime Sedan,Cash,32,10,0
Mini,Cash,36,18,0
Mini,Cash,10,4,0
Prime Plus,Cash,21,3,0
Prime Plus,UPI,34,23,0
Prime SUV,UPI,16,10,0
Prime SUV,UPI,16,7,0
eBike,UPI,48,18,0
eBike,Debit Card,23,18,0
Prime Plus,Cash,23,2,0
Prime SUV,Cash,48,22,0
Prime SUV,UPI,29,20,0
Prime Plus,UPI,40,13,0
Auto,Cash,10,6,0
Mini,Cash,45,14,0
Prime SUV,Cash,14,1,0
eBike,Cash,36,18,0
Prime Sedan,Cash,39,15,0
eBike,Cash,39,15,0
Auto,Credit Card,8,8,0
Mini,Cash,2,0,0
Mini,Cash,13,1,0
Prime Sedan,UPI,24,5,0
Mini,Cash,15,1,0
Prime SUV,UPI,9,19,0
Prime SUV,Cash,12,0,0
Mini,UPI,30,3,0
Mini,UPI,4,21,0
Prime Plus,Cash,3,20,0
Prime Sedan,Cash,41,0,0
Auto,Cash,13,1,0
Prime Plus,Cash,37,17,0
eBike,UPI,5,11,0
Bike,Credit Card,37,7,0
Prime Sedan,UPI,30,12,0
eBike,Cash,16,21,0
Prime Sedan,Credit Card,33,16,0
Prime SUV,Cash,25,3,0
eBike,Cash,24,17,0
Auto,UPI,1,4,0
eBike,UPI,43,1,0
Bike,UPI,5,7,0
eBike,Debit Card,6,23,0
Prime Plus,Cash,14,8,0
Auto,UPI,15,3,0
Bike,UPI,48,4,0
eBike,Cash,20,23,0
eBike,Cash,45,11,0
Prime SUV,UPI,2,22,0
Bike,Credit Card,7,19,0
Mini,UPI,19,4,0
Prime Plus,Cash,33,8,0
Mini,UPI,25,21,0
Prime SUV,Cash,47,4,0
Prime Plus,Cash,5,17,0
Prime Sedan,Cash,31,13,0
Prime Plus,UPI,3,0,0
Bike,Cash,46,11,0
Prime Sedan,UPI,33,8,0
Mini,Cash,2,23,0
Mini,Cash,46,19,0
Prime SUV,Cash,17,1,0
Prime Plus,Cash,48,1,0
Prime Sedan,Cash,4,5,0
Prime Sedan,Cash,10,8,0
eBike,Cash,34,15,0
Prime SUV,UPI,2,9,0
Prime Plus,Cash,22,16,0
Prime SUV,Cash,40,3,0
Prime Plus,UPI,12,17,0
Prime SUV,UPI,39,6,0
Prime Plus,UPI,11,1,0
Mini,UPI,29,16,0
Mini,UPI,1,13,0
Prime SUV,Cash,44,12,0
Prime Plus,UPI,40,10,0
Bike,UPI,11,13,0
Auto,Cash,12,11,0
eBike,UPI,35,22,0
Bike,Cash,2,1,0
Prime Sedan,UPI,29,11,0
Prime Sedan,Cash,2,6,0
Prime Plus,Cash,29,8,0
Prime Sedan,UPI,28,15,0
Prime SUV,UPI,16,9,0
Prime Sedan,Cash,14,22,0
Bike,UPI,20,19,0
Prime Plus,Credit Card,14,14,0
Prime SUV,Cash,31,21,0
eBike,UPI,9,17,0
Prime SUV,UPI,36,19,0
Mini,UPI,16,2,0
eBike,Cash,1,17,0
Prime Sedan,Cash,25,14,0
Mini,Cash,21,10,0
Prime Plus,Cash,30,20,0
eBike,UPI,39,20,0
Bike,Cash,10,3,0
Prime SUV,UPI,5,2,0
Mini,Cash,17,21,0
Prime SUV,Cash,16,10,0
Prime Plus,Cash,20,8,0
Auto,Cash,17,22,0
Prime Sedan,UPI,17,18,0
Auto,UPI,4,7,0
eBike,Cash,14,11,0
Prime Plus,Cash,23,18,0
Mini,Cash,39,6,0
Bike,UPI,1,14,0
Bike,Cash,26,18,0
Mini,Cash,28,10,0
Prime Sedan,UPI,29,0,0
Prime Plus,Cash,7,21,0
Prime Sedan,Cash,46,6,0
Prime SUV,Cash,48,22,0
Auto,Cash,6,0,0
eBike,Cash,12,22,0
Auto,Cash,8,13,0
Bike,Credit Card,17,22,0
Auto,Cash,3,0,0
Prime SUV,Cash,11,11,0
eBike,UPI,30,1,0
eBike,Cash,41,19,0
Prime SUV,Debit Card,9,7,0
Prime Sedan,Cash,16,4,0
Bike,UPI,26,16,0
Auto,UPI,10,2,0
Prime Sedan,Cash,34,16,0
Bike,UPI,33,1,0
eBike,UPI,26,15,0
Prime Sedan,UPI,2,20,0
Prime Sedan,UPI,33,9,0
Prime Sedan,Cash,47,6,0
Prime Sedan,Cash,9,13,0
Bike,UPI,47,21,0
Auto,Cash,7,21,0
Prime SUV,UPI,25,11,0
eBike,UPI,2,17,0
Prime Sedan,Credit Card,12,10,0
Auto,Cash,14,21,0
Auto,UPI,10,11,0
eBike,UPI,26,18,0
Prime SUV,Cash,29,8,0
Auto,Cash,8,18,0
Bike,Cash,2,17,0
Auto,UPI,13,7,0
Prime Plus,UPI,16,14,0
eBike,Cash,47,22,0
Prime Plus,Cash,36,10,0
Prime Plus,UPI,18,0,0
Prime SUV,UPI,45,19,0
Mini,Cash,35,20,0
Mini,Cash,43,11,0
Bike,Cash,1,14,0
Prime Plus,UPI,37,19,0
Auto,UPI,15,7,0
Prime Plus,Cash,8,9,0
Auto,UPI,16,0,0
Prime Plus,UPI,38,21,0
Prime Sedan,Credit Card,31,14,0
Prime Plus,Cash,46,8,0
Prime SUV,UPI,4,14,0
eBike,Cash,17,10,0
Prime SUV,Cash,29,4,0
Auto,UPI,6,6,0
Prime SUV,UPI,16,23,0
Prime SUV,Cash,33,0,0
Prime Plus,Cash,12,0,0
Prime SUV,Cash,32,0,0
eBike,UPI,43,12,0
Prime SUV,Cash,48,17,0
Prime SUV,UPI,35,7,0
Auto,UPI,17,16,0
Bike,Cash,31,4,0
Bike,UPI,12,14,0
Prime Sedan,Cash,11,11,0
Prime Sedan,Cash,34,19,0
Mini,Credit Card,2,4,0
Prime Plus,UPI,29,2,0
Prime Plus,Cash,32,7,0
Prime SUV,Cash,28,22,0
Mini,UPI,42,18,0
eBike,Cash,5,17,0
Bike,UPI,37,20,0
Prime Plus,Cash,19,14,0
Prime Plus,UPI,21,5,0
Prime SUV,Cash,9,22,0
Prime Sedan,UPI,20,4,0
Prime Plus,UPI,49,4,0
Prime Sedan,Cash,9,13,0
Auto,UPI,14,14,0
Prime SUV,Cash,15,3,0
eBike,UPI,12,21,0
Prime Plus,UPI,2,11,0
Prime Plus,UPI,35,18,0
Prime SUV,Cash,5,5,0
Mini,UPI,23,14,0
Prime Sedan,UPI,21,12,0
Mini,Cash,25,0,0
Prime Sedan,Cash,29,3,0
Mini,Cash,21,4,0
Prime Sedan,UPI,44,4,0
Prime Sedan,UPI,28,17,0
Prime SUV,UPI,48,6,0
Prime Plus,Cash,17,22,0
Mini,Cash,45,2,0
Prime Plus,Cash,10,16,0
Prime Sedan,UPI,19,1,0
Mini,UPI,29,7,0
Mini,UPI,34,23,0
eBike,Cash,10,10,0
Auto,UPI,1,20,0
eBike,Cash,12,8,0
Mini,Cash,31,4,0
Auto,Cash,4,10,0
Prime SUV,Cash,22,0,0
Bike,Cash,30,16,0
Prime Plus,Cash,31,6,0
Prime SUV,Cash,32,14,0
Prime SUV,UPI,34,22,0
eBike,UPI,10,13,0
eBike,Cash,47,3,0
Prime Plus,UPI,38,8,0
Prime SUV,Cash,37,0,0
eBike,UPI,8,10,0
Bike,Cash,23,18,0
Prime SUV,UPI,1,9,0
Auto,Cash,19,1,0
Bike,UPI,38,1,0
Bike,UPI,16,0,0
Auto,UPI,7,5,0
Auto,UPI,2,15,0
Prime Plus,UPI,32,1,0
Prime Sedan,UPI,29,13,0
Auto,Credit Card,16,0,0
Bike,UPI,2,2,0
Mini,UPI,13,14,0
Bike,UPI,19,1,0
Prime SUV,Cash,24,6,0
Bike,UPI,17,1,0
eBike,Cash,47,7,0
Bike,UPI,24,23,0
Mini,UPI,1,4,0
Prime Plus,UPI,18,11,0
Auto,Credit Card,13,17,0
Prime Plus,Cash,3,23,0
Bike,Cash,30,10,0
Prime Sedan,Cash,33,21,0
eBike,Credit Card,19,2,0
Mini,Cash,24,21,0
Auto,Cash,11,18,0
Mini,UPI,44,16,0
Bike,Cash,16,15,0
Prime Sedan,UPI,3,10,0
Prime Sedan,UPI,36,6,0
Auto,UPI,12,4,0
Auto,UPI,2,22,0
eBike,UPI,25,8,0
Prime Plus,Cash,6,17,0
Auto,UPI,11,18,0
Prime Sedan,UPI,48,11,0
Prime Plus,Cash,20,8,0
Mini,Cash,17,10,0
Auto,UPI,14,22,0
Prime SUV,Cash,48,1,0
Auto,UPI,5,21,0
Auto,Cash,12,9,0
Prime Plus,Cash,23,2,0
Prime Sedan,Cash,22,4,0
Prime SUV,UPI,18,15,0
eBike,UPI,45,23,0
Bike,UPI,45,1,0
Mini,Cash,40,16,0
Prime Sedan,UPI,37,5,0
Bike,UPI,22,6,0
Prime Plus,UPI,3,4,0
Auto,UPI,15,22,0
Prime Sedan,Cash,42,20,0
Bike,Cash,27,8,0
Prime Plus,Cash,30,23,0
Prime Plus,UPI,31,10,0
Prime SUV,UPI,26,16,0
Prime Sedan,Cash,46,14,0
Prime Sedan,Debit Card,36,1,0
Bike,Cash,41,6,0
eBike,Cash,28,4,0
Bike,Cash,30,10,0
Prime Plus,UPI,37,4,0
Prime SUV,Cash,15,14,0
Prime SUV,Cash,25,23,0
Auto,UPI,10,17,0
Prime Sedan,UPI,38,22,0
Prime SUV,UPI,31,22,0
Bike,Cash,23,2,0
Prime SUV,UPI,20,16,0
Auto,Cash,5,18,0
Bike,Cash,26,16,0
Prime Plus,Cash,16,21,0
Bike,UPI,24,13,0
eBike,Cash,46,11,0
Prime Plus,Cash,34,11,0
Mini,UPI,40,5,0
Mini,UPI,42,4,0
Mini,Cash,40,18,0
Prime SUV,Cash,5,23,0
Prime Plus,UPI,36,19,0
Prime SUV,Cash,5,5,0
Auto,UPI,3,22,0
Auto,Cash,5,7,0
